merchant_name;category;discount_label;logo_url;description;conditions;valid_until;online_enabled;online_url;online_promo_code;physical_enabled;address;city;latitude;longitude
Virgin Active;fitness;-25% abbonamento annuale;https://logo.clearbit.com/virginactive.it;Palestra premium con piscina, spa e oltre 300 corsi/settimana. Network di 30+ club in Italia.;Valido per nuovi iscritti su abbonamento annuale o 24 mesi. Non cumulabile con altre promozioni in corso.;2026-12-31;true;https://www.virginactive.it;FILODIR25;true;Via Sarca 22;Milano;45.5021;9.2147
Mondadori Store;retail;-20% su libri e cancelleria;https://logo.clearbit.com/mondadoristore.it;Libreria flagship con narrativa, saggistica, eventi autori, cancelleria e gadget.;Sconto applicato su libri non scolastici e cancelleria. Esclusi periodici e prodotti già scontati.;2026-12-31;true;https://www.mondadoristore.it;FILO20;true;Corso Buenos Aires 50;Milano;45.4774;9.2052
Decathlon;fitness;-20% su tutto lo store;https://logo.clearbit.com/decathlon.it;Equipaggiamento sportivo: corsa, palestra, ciclismo, montagna, abbigliamento tecnico e accessori.;Cumulabile con saldi di stagione fino al -10% aggiuntivo. Valido in store e online.;2026-12-31;true;https://www.decathlon.it;FILODECA20;true;Piazza Cairoli 1;Milano;45.4684;9.1810
Pavé;food;-25% colazione e pranzo;https://logo.clearbit.com/pavemilano.com;Caffetteria e pasticceria artigianale milanese. Colazione, brunch, pranzo veloce, take-away.;Sconto valido lun-ven 7:00-15:00. Esclusi prodotti per asporto wedding/eventi.;2026-12-31;false;;FILOPAVE25;true;Via Felice Casati 27;Milano;45.4842;9.2030
Fratelli La Bufala;food;-30% menu pranzo;https://logo.clearbit.com/fratellilabufala.com;Pizzeria napoletana con forno a legna e ingredienti DOP. Catena nazionale.;Sconto valido solo a pranzo lun-ven 12:00-15:00. Non valido su asporto e festivi.;2026-12-31;false;;FILOBUFALA30;true;Corso di Porta Romana 6;Milano;45.4548;9.1973
Sephora;salute;-25% beauty + omaggio;https://logo.clearbit.com/sephora.it;Cosmetica, profumeria, skincare e make-up dei brand premium internazionali.;Sconto cumulabile con programma fedeltà Sephora. Omaggio campioni a scelta sopra €60 di spesa.;2026-12-31;true;https://www.sephora.it;FILOSEPH25;true;Corso Vittorio Emanuele II 13;Milano;45.4654;9.1932
Salmoiraghi & Viganò;salute;-30% occhiali da vista e da sole;https://logo.clearbit.com/salmoiraghievigano.it;Catena di ottici premium con esame della vista gratuito, lenti progressive, montature firmate.;Sconto applicato su montatura + lenti graduate. Esame della vista gratuito incluso. Esclusi articoli già in promozione.;2026-12-31;true;https://www.salmoiraghievigano.it;FILOSV30;true;Galleria Vittorio Emanuele II 81;Milano;45.4661;9.1900
MediaWorld;tech;-15% selezione elettronica;https://logo.clearbit.com/mediaworld.it;Elettronica di consumo, grandi e piccoli elettrodomestici, telefonia, informatica.;Sconto applicato su selezione prodotti contrassegnati. Non cumulabile con finanziamenti a tasso 0.;2026-12-31;true;https://www.mediaworld.it;FILOMW15;true;Piazza Cinque Giornate 1;Milano;45.4607;9.2030
Eataly Milano Smeraldo;food;-20% spesa enoteca e ristoranti;https://logo.clearbit.com/eataly.net;Negozio gastronomico con ristoranti, enoteca, panetteria, scuola di cucina e prodotti italiani premium.;Sconto valido su spesa enoteca al banco e ristoranti interni. Escluso eventi privati e catering.;2026-12-31;true;https://www.eataly.net/it_it;FILOEATALY20;true;Piazza XXV Aprile 10;Milano;45.4818;9.1879
Centro Medico Santagostino;salute;-25% visite specialistiche e diagnostica;https://logo.clearbit.com/santagostino.it;Network di poliambulatori privati con prezzi calmierati. 50+ specialità mediche, odontoiatria, psicoterapia, prevenzione.;Sconto applicato su visite specialistiche, esami diagnostici e prestazioni odontoiatriche. Escluso PMA, chirurgia e ricoveri.;2026-12-31;true;https://www.santagostino.it;FILOSANT25;true;Piazza Sant'Agostino 24;Milano;45.4567;9.1717
